Product Card Id,Product Name,Category Name,Category Id,Department Name,Department Id,Order Item Product Price,Order Item Discount Rate
1360,Smart watch ,Sporting Goods,73,Fitness,2,327.75,0.039999999
365,Perfect Fitness Perfect Rip Deck,Cleats,17,Apparel,4,59.99000168,0.039999999
627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,29,Golf,5,39.99000168,0.01
502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,24,Golf,5,50.0,0.039999999
278,Under Armour Men's Compression EV SL Slide,Electronics,13,Footwear,3,44.99000168,0.170000002
249,Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,12,Footwear,3,54.97000122,0.180000007
191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,9,Footwear,3,99.98999786,0.119999997
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,41,Outdoors,6,21.98999977,0.029999999
828,Bridgestone e6 Straight Distance NFL San Dieg,Electronics,37,Outdoors,6,31.98999977,0.170000002
642,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,29,Golf,5,30.0,0.090000004
818,Titleist Pro V1x Golf Balls,Electronics,37,Outdoors,6,47.99000168,0.01
825,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,37,Outdoors,6,31.98999977,0.039999999
306,Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,38,Outdoors,6,89.98999786,0.119999997
977,ENO Atlas Hammock Straps,Hunting & Shooting,44,Fan Shop,7,29.98999977,0.170000002
44,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,3,Fitness,2,59.99000168,0.050000001
251,Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,12,Footwear,3,89.98999786,0.25
403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,18,Apparel,4,129.9900055,0.02
957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,43,Fan Shop,7,299.980011,0.01
1352,Industrial consumer electronics,Consumer Electronics,65,Technology,10,252.8800049,0.0
1349,Web Camera,Cameras ,62,Technology,10,452.0400085,0.01
1351,Dell Laptop,Computers,64,Technology,10,1500.0,0.059999999
60,SOLE E25 Elliptical,Basketball,4,Fitness,2,999.9899902,0.01
24,Elevation Training Mask 2.0,Soccer,2,Fitness,2,79.98999786,0.02
567,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,26,Golf,5,25.0,0.02
893,Team Golf Pittsburgh Steelers Putter Grip,Accessories,40,Outdoors,6,24.98999977,0.01
924,Glove It Urban Brick Golf Towel,Trade-In,41,Outdoors,6,15.98999977,0.159999996
905,Team Golf Texas Longhorns Putter Grip,Accessories,40,Outdoors,6,24.98999977,0.200000003
564,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,26,Golf,5,30.0,0.07
885,Team Golf St. Louis Cardinals Putter Grip,Accessories,40,Outdoors,6,24.98999977,0.059999999
1363,Summer dresses,Women's Clothing,76,Apparel,4,215.8200073,0.050000001
1353,Porcelain crafts,Crafts,66,Apparel,4,461.480011,0.059999999
1357,Men's gala suit,Men's Clothing,70,Apparel,4,210.8500061,0.090000004
906,Team Golf Tennessee Volunteers Putter Grip,Accessories,40,Outdoors,6,24.98999977,0.0
886,Team Golf San Francisco Giants Putter Grip,Accessories,40,Outdoors,6,24.98999977,0.059999999
926,Glove It Imperial Golf Towel,Trade-In,41,Outdoors,6,15.98999977,0.07
116,Nike Men's Comfort 2 Slide,Tennis & Racquet,6,Fitness,2,44.99000168,0.170000002
235,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,11,Footwear,3,34.99000168,0.0
273,Under Armour Kids' Mercenary Slide,Electronics,13,Footwear,3,27.98999977,0.02
282,Under Armour Women's Ignite PIP VI Slide,Electronics,13,Footwear,3,31.98999977,0.029999999
359,Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,16,Footwear,3,99.98999786,0.07
565,adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,26,Golf,5,70.0,0.059999999
572,TYR Boys' Team Digi Jammer,Girls' Apparel,26,Golf,5,39.99000168,0.180000007
804,Glove It Women's Imperial Golf Glove,Golf Balls,36,Outdoors,6,19.98999977,0.100000001
822,Titleist Pro V1x High Numbers Golf Balls,Electronics,37,Outdoors,6,47.99000168,0.119999997
835,Bridgestone e6 Straight Distance NFL Carolina,Electronics,37,Outdoors,6,31.98999977,0.039999999
276,Under Armour Women's Ignite Slide,Electronics,13,Footwear,3,31.98999977,0.01
823,Titleist Pro V1x High Numbers Personalized Go,Electronics,37,Outdoors,6,51.99000168,0.02
203,GoPro HERO3+ Black Edition Camera,Strength Training,10,Footwear,3,399.9899902,0.119999997
364,Total Gym 1400,Cleats,17,Apparel,4,299.9899902,0.0
1350,Children's heaters,Children's Clothing,63,Apparel,4,357.1000061,0.150000006
897,Team Golf New England Patriots Putter Grip,Accessories,40,Outdoors,6,24.98999977,0.02
37,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,3,Fitness,2,34.99000168,0.119999997
172,Nike Women's Tempo Shorts,Cardio Equipment,9,Footwear,3,30.0,0.0
810,Glove It Women's Mod Oval Golf Glove,Golf Balls,36,Outdoors,6,19.98999977,0.159999996
821,Titleist Pro V1 High Numbers Personalized Gol,Electronics,37,Outdoors,6,51.99000168,0.01
93,Under Armour Men's Tech II T-Shirt,Lacrosse,5,Fitness,2,24.98999977,0.090000004
1347,Baby sweater,Baby ,60,Apparel,4,59.08000183,0.129999995
305,Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,38,Outdoors,6,199.0,0.01
1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,45,Fan Shop,7,399.980011,0.02
1346,Sports Books ,Books ,59,Book Shop,8,31.07999992,0.100000001
58,Diamondback Boys' Insight 24 Performance Hybr,Basketball,4,Fitness,2,299.9899902,0.039999999
311,Polar Loop Activity Tracker,Kids' Golf Clubs,38,Outdoors,6,109.9499969,0.090000004
303,Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,38,Outdoors,6,399.9899902,0.090000004
1354,DVDs ,DVDs,67,Discs Shop,9,164.3800049,0.0
1348,CDs of rock,CDs ,61,Discs Shop,9,11.28999996,0.150000006
78,Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,5,Fitness,2,99.98999786,0.180000007
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,12,Footwear,3,94.98999786,0.200000003
797,Hirzl Women's Soffft Flex Golf Glove,Golf Balls,36,Outdoors,6,17.98999977,0.159999996
981,The North Face Women's Recon Backpack,Hunting & Shooting,44,Fan Shop,7,99.0,0.129999995
1355,Lawn mower,Garden,68,Outdoors,6,532.5800171,0.0
135,Nike Dri-FIT Crew Sock 6 Pack,Hockey,7,Fitness,2,22.0,0.01
134,Nike Women's Legend V-Neck T-Shirt,Hockey,7,Fitness,2,25.0,0.0
845,Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,38,Outdoors,6,299.9899902,0.050000001
982,insta-bed Neverflat Air Mattress,Hunting & Shooting,44,Fan Shop,7,149.9900055,0.159999996
625,Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,29,Golf,5,199.9900055,0.129999995
1359,Adult dog supplies,Pet Supplies,72,Pet Shop,11,84.40000153,0.01
1356,First aid kit,Health and Beauty,69,Health and Beauty ,12,293.0400085,0.029999999
607,Garmin Approach S3 Golf GPS Watch,Trade-In,41,Outdoors,6,249.9900055,0.07
1358,Rock music,Music,71,Discs Shop,9,260.6499939,0.150000006
1362,Fighting video games,Video Games,75,Discs Shop,9,39.75,0.029999999
295,Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,38,Outdoors,6,99.94999695,0.039999999
127,Stiga Master Series ST3100 Competition Indoor,Hockey,7,Fitness,2,329.9899902,0.01
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,4,Fitness,2,299.9899902,0.100000001
35,adidas Brazuca 2014 Official Match Ball,Baseball & Softball,3,Fitness,2,159.9900055,0.180000007
858,GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,38,Outdoors,6,199.9900055,0.01
860,Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,38,Outdoors,6,599.9899902,0.090000004
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,10,Footwear,3,189.0,0.180000007
19,Nike Men's Fingertrap Max Training Shoe,Soccer,2,Fitness,2,124.9899979,0.01
226,Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,11,Footwear,3,599.9899902,0.200000003
208,SOLE E35 Elliptical,Strength Training,10,Footwear,3,1999.98999,0.25
793,Hirzl Women's Hybrid Golf Glove,Golf Balls,36,Outdoors,6,14.98999977,0.159999996
792,Hirzl Men's Hybrid Golf Glove,Golf Balls,36,Outdoors,6,14.98999977,0.039999999
786,TaylorMade 2014 Purelite Stand Bag,Golf Gloves,35,Outdoors,6,179.9900055,0.170000002
778,Bag Boy Beverage Holder,Golf Gloves,35,Outdoors,6,24.98999977,0.25
777,Bag Boy M330 Push Cart,Golf Gloves,35,Outdoors,6,79.98999786,0.050000001
775,Clicgear 8.0 Shoe Brush,Golf Gloves,35,Outdoors,6,9.989999771,0.02
773,Titleist Small Wheeled Travel Cover,Golf Gloves,35,Outdoors,6,249.9900055,0.100000001
771,Clicgear Rovic Cooler Bag,Golf Gloves,35,Outdoors,6,39.99000168,0.159999996
768,Titleist Club Glove Travel Cover,Golf Gloves,35,Outdoors,6,299.9899902,0.25
743,Ogio Race Golf Shoes,Golf Bags & Carts,34,Outdoors,6,169.9900055,0.0
730,LIJA Women's Argyle Golf Polo,Golf Shoes,33,Outdoors,6,80.0,0.159999996
728,LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,33,Outdoors,6,65.0,0.119999997
725,LIJA Women's Button Golf Dress,Golf Shoes,33,Outdoors,6,108.0,0.100000001
724,LIJA Women's Mid-Length Panel Golf Shorts,Golf Shoes,33,Outdoors,6,100.0,0.0
715,TaylorMade Women's RBZ SL Rescue,Golf Apparel,32,Outdoors,6,129.9900055,0.180000007
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,32,Outdoors,6,119.9899979,0.090000004
703,Top Flite Women's 2014 XL Hybrid,Golf Apparel,32,Outdoors,6,19.98999977,0.01
691,MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,31,Outdoors,6,79.98999786,0.090000004
677,TaylorMade White Smoke IN-12 Putter,Women's Golf Clubs,31,Outdoors,6,99.98999786,0.170000002
671,Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,31,Outdoors,6,209.9900055,0.100000001
666,Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,30,Outdoors,6,109.9899979,0.050000001
652,Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,30,Outdoors,6,129.9900055,0.0
647,Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,30,Outdoors,6,134.9900055,0.159999996
646,Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,30,Outdoors,6,99.98999786,0.02
1361,Toys ,Toys,74,Fan Shop,7,11.53999996,0.059999999
1073,Pelican Sunstream 100 Kayak,Water Sports,48,Fan Shop,7,199.9900055,0.059999999
1059,Pelican Maverick 100X Kayak,Water Sports,48,Fan Shop,7,349.9899902,0.119999997
1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,46,Fan Shop,7,49.97999954,0.01
